Name,Competitors Sold Here,Astra Prospect?,Type,Address,City / Region,Phone,Email,Contact Page,Instagram,Website,Open Times,Status,Last Contacted,Notes / Warm Intros,Needs Review,Source
LOVE EATS,NON,,Grocery Store,"10 Amagansett Square Unit B, Amagansett, NY 11930","Amagansett, NY",(631) 557-3038,info@loveeats.com,,,https://www.loveeats.com/,,Not contacted,,,,Competitor list
AITA,Unified Ferments,Yes,Italian Restaurant,"132 Greene Ave, Brooklyn, NY 11238","Brooklyn, NY",(718) 576-3584,aitaclintonhill@gmail.com,,,aitaclintonhill.com,,Not contacted,,,,Competitor list + Retail leads tab
Anais,,Yes,Wine bar,"196 Bergen St #2, Brooklyn, NY 11217","Brooklyn, NY",(718) 513-9176,hello@anaisbk.com,,,https://www.anaisbk.com/,,Not contacted,,,,Competitor list + Retail leads tab
ASKA,Unified Ferments,,Scandinavian Restaurant,"47 S 5th St, Brooklyn, NY 11249, USA","Brooklyn, NY",(934) 732-3710,reservations@askanyc.com,,,,,Not contacted,,,,Competitor list + Retail leads tab
Banter Bar,,Yes,Pub,"132 Havemeyer St, Brooklyn, NY 11211","Brooklyn, NY",(347) 457-6621,chris@banterbrooklyn.com,,,https://banterbrooklyn.com/,,Not contacted,,,,Competitor list + Retail leads tab
BAR BEDFORD,NON,,Bar,"353 Bedford Avenue, New York, New York 11211","Brooklyn, NY",(929) 489-0150,,https://www.barbedford.com/contact-inquire/,,https://www.barbedford.com/,,Not contacted,,,,Competitor list
Bar Laika,,Yes,Wine bar,"224 Greene Ave, Brooklyn, NY 11238","Brooklyn, NY",(347) 529-4321,laika@e-flux.com,,,www.laika.bar,,Not contacted,,,,Competitor list + Retail leads tab
BAR MADONNA,NON,,Restaurant,"367 Metropolitan Avenue, New York, New York 11211","Brooklyn, NY",(347) 987-4545,reservations@barmadonna.com,,,https://barmadonna.com/,,Not contacted,,,,Competitor list
Bathouse Williamsburg,Unified Ferments,,Suana,"103 North 10th Street, Brooklyn, NY, 11249","Brooklyn, NY",(929) 489-2284,williamsburg@abathhouse.com,,,abathhouse.com,,Not contacted,,,,Competitor list + Retail leads tab
BIG NIGHT Greenpoint,Unified Ferments,,Retail Store for dinner parties,"154, Franklin Street, Greenpoint, Brooklyn, Kings County, New York, 11222, United States","Brooklyn, NY",(347) 725-3041,vendors@shopbignight.com,,,bignightbk.com,,Not contacted,,,,Competitor list + Retail leads tab
BONNIES,Unified Ferments,,Chinese Restaurant,"398 Manhattan Ave, Brooklyn, NY 11211, USA","Brooklyn, NY",(914) 875-3709,hello@bonniesbrooklyn.com,,,bonniesbrooklyn.com,,Not contacted,,,,Competitor list + Retail leads tab
BUZZ FREE,NON,,Convenience Store,"679 5th Avenue, New York, New York 11215","Brooklyn, NY",(718) 219-7828,buzzfree679@gmail.com,,,https://www.buzzfreenyc.com/,,Not contacted,,Non Alc Store!,,Competitor list
CAFE RUE DIX,Unified Ferments,,West African restaurant,"Cafe Rue Dix, 1451, Bedford Avenue, Brooklyn, Kings County, New York, 11216, United States","Brooklyn, NY",(929) 234-2543,cafe@ruedixbrooklyn.com,,,https://www.ruedixbrooklyn.com/,,Not contacted,,,,Competitor list + Retail leads tab
CAMPBELL CHEESE AND GROCERY Greenpoint,Unified Ferments,,Sandwich shop,"209 Nassau Ave. Brooklyn, NY 11222","Brooklyn, NY",(718) 269-4147,info@campbellcheese.com,,,https://campbellandco.nyc/campbell-cheese-502lorimer/,,Not contacted,,,,Competitor list + Retail leads tab
CAMPBELL CHEESE AND GROCERY Williamsburg,Unified Ferments,,Sandwich shop,"502 Lorimer St, Brooklyn, NY 11211","Brooklyn, NY",(718) 387-2267,info@campbellcheese.com,,,https://campbellandco.nyc/campbell-cheese-502lorimer/,,Not contacted,,,,Competitor list + Retail leads tab
Carmelo's,,Yes,Bar,"1544 Dekalb Ave, Brooklyn, NY 11237","Brooklyn, NY",,Carmelosbushwick@gmail.com,,,https://carmelosbushwick.teamdexter.com/,,Not contacted,,,,Competitor list + Retail leads tab
CHEESE PLATE BROOKLYN,"NON, Unified Ferments",,Food Store,"400 7th Avenue, New York, New York 11215","Brooklyn, NY",(929) 434-9937,,https://www.cheeseplatebrooklyn.com/contact,,www.cheeseplatebrooklyn.com,,Not contacted,,,,Competitor list + Retail leads tab
