competitor,source_id,name,address,suburb,region,state,venue_type,contact,website,hours,notes,latitude,longitude,source_url,scraped_at,geocode_status
Researched Prospect Locations,,The Maze,"43 W 24th St, New York, NY 10010",New York,US,NY,alcohol-free members club,,https://www.themazenyc.com/,Tue-Wed 11am-10pm; Thu-Fri 11am-11pm; Sat 10am-11pm; Mon & Sun closed,,40.7433762,-73.9912946,friend research,2026-09-01T00:32:17.984048+00:00,resolved
Researched Prospect Locations,,Happier Grocery,"365 Canal St, Ground Floor, New York, NY 10013",New York,US,CA,specialty grocery store,+1 212-837-8015,,Daily 8am-9pm,,40.72121,-74.0040147,friend research,2026-09-01T00:32:17.984048+00:00,resolved
Researched Prospect Locations,,Dimes Market,"143 Division St, New York, NY 10002",New York,US,NY,market,@dimestimes | +1 646-870-5113,,Mon-Fri 8am-8pm; Sat-Sun 9am-8pm,,40.714439,-73.9908127,friend research,2026-09-01T00:32:17.984048+00:00,resolved
Researched Prospect Locations,,Gem,"181 Mott St, New York, NY 10012",New York,US,NY,specialty grocery store,info@gemhomenyc.com,,9:00am - 6:00pm,,40.720665,-73.9959711,friend research,2026-09-01T00:32:17.984048+00:00,resolved
Researched Prospect Locations,,Silence Please,"132 Bowery, Fl 2, New York, NY 10013",New York,US,NY,tea house and listening room,,https://silenceplease.com/,Daily 10am-8pm,,40.7189289,-73.9948154,friend research,2026-09-01T00:32:17.984048+00:00,resolved
Researched Prospect Locations,,Pocketbook Market,"549 Washington St, Hudson, NY 12534",Hudson,US,NY,market,,,,"Hudson, NY (not NYC)",42.2503694,-73.781736,friend research,2026-09-01T00:32:17.984048+00:00,resolved
Researched Prospect Locations,,Entre Nous,"39 Clifton Pl, Brooklyn, NY 11238",Brooklyn,US,NY,wine bar,+1 347-294-4186,,Tue-Thu 5-11pm; Fri 5pm-12am; Sat 3pm-12am; Sun 3-11pm; Mon closed,,40.6879326,-73.962875,friend research,2026-09-01T00:32:17.984048+00:00,resolved
Researched Prospect Locations,,Rhodora,"197 Adelphi St, Brooklyn, NY 11205",Brooklyn,US,NY,wine bar,,,Tue-Thu 5-11pm; Fri 4pm-12am; Sat 1pm-12am; Sun 1-11pm; Mon closed,,40.6917428,-73.9714335,friend research,2026-09-01T00:32:17.984048+00:00,resolved
Researched Prospect Locations,,Prima,"147 Greene Ave, Brooklyn, NY 11238",Brooklyn,US,NY,cafe/wine bar,+1 718-789-7890,,Mon-Tue 8am-5pm; Wed-Sat 8am-10pm; Sun 8am-8pm,,40.6867938,-73.9662119,friend research,2026-09-01T00:32:17.984048+00:00,resolved
Researched Prospect Locations,,Place Des Fetes,"212 Greene Ave, Brooklyn, NY 11238",Brooklyn,US,NY,restaurant,+1 718-857-0101,,Sun-Thu 5:30-10pm; Fri-Sat 5:30-10:30pm,,40.686862,-73.962884,friend research,2026-09-01T00:32:17.984048+00:00,resolved
