competitor,source_id,name,address,suburb,region,state,venue_type,contact,website,hours,notes,latitude,longitude,source_url,scraped_at,geocode_status
Savoure,,Foragers Market,"56 Adams St, Brooklyn, NY 11201",Brooklyn,US,NY,market,+1 718-801-8400,,,Listed as foragers DUMBO. Google: Foragers Market.,40.7025926,-73.9887274,friend research — Savoure,2026-09-01T00:51:30.799565+00:00,resolved
Savoure,,LifeThyme Natural Market,"410 6th Ave, New York, NY 10011",New York,US,NY,natural market,+1 212-420-1600,,Mon-Fri 7:30am-9:30pm; Sat 8am-9:30pm; Sun 8am-9pm,Listed as life thyme market.,40.7337859,-73.9990589,friend research — Savoure,2026-09-01T00:51:30.799565+00:00,resolved
Savoure,,Talbott & Arding,"202 Allen St, Hudson, NY 12534",Hudson,US,NY,market,+1 518-828-3558,,Tue-Thu 10am-5pm; Fri-Sat 10am-6pm; Sun 10am-5pm; Mon closed,"Hudson, NY.",42.2533454,-73.7946524,friend research — Savoure,2026-09-01T00:51:30.799565+00:00,resolved
Savoure,,& Sons Buttery,"447 Rogers Ave, Brooklyn, NY 11225",Brooklyn,US,NY,buttery,+1 347-789-3422,,,Listed as & sons. Recent Google reviews suggest it may have closed — verify before outreach.,40.6616196,-73.9533528,friend research — Savoure,2026-09-01T00:51:30.799565+00:00,resolved
Savoure,,Dimes Deli,"143 Division St, New York, NY 10002",New York,US,NY,deli/market,+1 212-240-9410,,Mon-Fri 8am-8pm; Sat-Sun 9am-8pm,Same address as Dimes Market.,40.714439,-73.9908127,friend research — Savoure,2026-09-01T00:51:30.799565+00:00,resolved
Savoure,,Depanneur,"242 Wythe Ave, Brooklyn, NY 11249",Brooklyn,US,NY,market,+1 718-989-1022,,Mon-Fri 7:30am-7pm; Sat-Sun 8am-7pm,,40.7174886,-73.9628002,friend research — Savoure,2026-09-01T00:51:30.799565+00:00,resolved
Savoure,,Lea Brooklyn,"1022 Cortelyou Rd, Brooklyn, NY 11218",Brooklyn,US,NY,market,+1 718-928-7100,,,,40.6394347,-73.9680084,friend research — Savoure,2026-09-01T00:51:30.799565+00:00,resolved
Savoure,,Park Slope Food Coop,"782 Union St, Brooklyn, NY 11215",Brooklyn,US,NY,food coop,+1 718-622-0560,,Mon-Sat 8am-9pm; Sun 8am-8pm,Member-only co-op — buying goes through receiving/purchasing committee.,40.6747295,-73.976815,friend research — Savoure,2026-09-01T00:51:30.799565+00:00,resolved
Savoure,,R&D Foods,"602 Vanderbilt Ave, Brooklyn, NY 11238",Brooklyn,US,NY,specialty foods,+1 347-915-1196,,,,40.6783689,-73.9688782,friend research — Savoure,2026-09-01T00:51:30.799565+00:00,resolved
Savoure,,Zabar's,"2245 Broadway, New York, NY 10024",New York,US,NY,specialty grocery,+1 212-787-2000,,Mon-Sat 8am-7:30pm; Sun 9am-6pm,,40.7849024,-73.9796668,friend research — Savoure,2026-09-01T00:51:30.799565+00:00,resolved
Savoure,,Public Records,"233 Butler St, Brooklyn, NY 11217",Brooklyn,US,NY,bar/venue,,,Thu 6-10pm; Fri 6pm-4am; Sat 10am-4am; Sun 10am-9pm; Mon-Wed closed,,40.6821674,-73.9863886,friend research — Savoure,2026-09-01T00:51:30.799565+00:00,resolved
Savoure,,Tabula Rasa Bar,"5125 Hollywood Blvd, Los Angeles, CA 90027",Los Angeles,US,CA,bar,+1 213-290-6309,https://tabularasabar.com,,,34.1019569,-118.3014699,friend research — Savoure,2026-09-01T00:51:30.799565+00:00,resolved
Savoure,,Botanica Restaurant and Market,"1620 Silver Lake Blvd, Los Angeles, CA 90026",Los Angeles,US,CA,restaurant and market,+1 323-522-6106,https://botanicarestaurant.com,,,34.088493,-118.2689001,friend research — Savoure,2026-09-01T00:51:30.799565+00:00,resolved
Savoure,,Sqirl Away,"720 N Virgil Ave, Los Angeles, CA 90029",Los Angeles,US,CA,to-go market,+1 323-284-8147,https://sqirlla.com,,"To-go market next door to Sqirl; stocks pantry goods, coffee, tea, beer and wine. sqirlla.com covers both.",34.0845162,-118.2866953,friend research — Savoure,2026-09-01T00:51:30.799565+00:00,resolved
