competitor,source_id,name,address,suburb,region,state,venue_type,latitude,longitude,source_url,scraped_at,geocode_status,phone,email,website,verified,needs_review,staging_address,staging_city,staging_confidence,staging_provider,contact,hours,contact_source
Unified Ferments,,ALISON,"1651 Lexington Ave, New York, NY 10029, USA",New York,US,NY,,40.7909848,-73.9470267,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,(646) 876-1054,,https://alisonny.com,False,False,,,,,,,
Unified Ferments,,A BATHHOUSE,"103 North 10th Street, Brooklyn, NY, 11249",Brooklyn,US,NY,,40.7205182,-73.9574036,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,True,False,,,,,,,
Unified Ferments,,BIG NIGHT,"Big Night, 154, Franklin Street, Greenpoint, Brooklyn, Kings County, New York, 11222, United States",Brooklyn,US,NY,,40.7303611,-73.9575209,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,CAMPBELL CHEESE AND GROCERY,"502, Lorimer Street, New York, New York, 11211, United States",Lorimer Street,US,NY,,40.712008,-73.9489067,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
Unified Ferments,,EXTRA EXTRA PIZZA,"549 West Utica Street, Buffalo, NY, 14213",Buffalo,US,NY,,42.9114879,-78.8871705,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,True,,,0.0,,,,
Unified Ferments,,KINDRED FARE,"512 Hamilton Street, Geneva, NY, 14456",Geneva,US,NY,,42.8570427,-77.0071032,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,+1 315-787-0400,,https://kindredfare.com/,False,True,,,0.0,,,Mo-Su 17:00-21:00,openstreetmap
Unified Ferments,,LIL DEB’S OASIS,"747 Columbia Street, City of Hudson, NY, 12534",City of Hudson,US,NY,,42.2472375,-73.7807992,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,+1-518-828-4307,,https://www.lildebsoasis.com/,True,False,,,0.0,,,,openstreetmap
Unified Ferments,,NICHE NICHE,"43 MacDougal St, New York, NY 10011, USA",New York,US,NY,,40.72842,-74.00158,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,+1-646-370-4146,,https://thenicheshop.co,True,False,,,,,,Mo-Sa 12:00-19:00; Su 12:00-18:00,openstreetmap
Unified Ferments,,RHODORA WINE BAR,"197 Adelphi Street, Brooklyn, NY, 11205",Brooklyn,US,NY,,40.6917428,-73.9714335,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,True,False,,,,,,,
Unified Ferments,,ALKALI RYE,"Alkali Rye, 3256, Grand Avenue, Grand Lake, Oakland, Alameda County, California, 94610, United States",Oakland,US,CA,,37.8123615,-122.247171,https://unifiedferments.com/FIND-US,2026-08-31T21:28:01.706216+00:00,resolved,,,,False,False,,,,,,,
