competitor,source_id,name,address,suburb,region,venue_type,latitude,longitude,website,source_url,scraped_at,phone,email
Villbrygg,,Vinmonopolet - Sandnessjøen,"Amfi Skansen, Torolv Kveldulvsons gate 24-26, 8800 Sandnessjøen, Norway",Alstahaug,Norway,Shops,,,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Alta,"Markedsgata 21, 9510 Alta, Norway",Alta,Norway,Shops,69.966172,23.272631,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Knarvik,"Kvernhusmyrane 7, 5914 Isdalstø, Norway",Alver,Norway,Shops,60.5470381,5.2862215,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Radøy,"Radøyvegen 1680, 5936 Manger, Norway",Alver,Norway,Shops,60.6408414,5.0419648,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Arendal,"Vesterveien 4, 4836 Arendal, Norway",Arendal,Norway,Shops,58.459492,8.763462,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Nesbru,"Holmensenteret, Vogellund 6, 1394 Nesbru, Norway",Asker,Norway,Restaurants & bars,59.8543757,10.4883029,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Bergsmyrene Gård ved Severin Romer Iversen,"Bergsmyrene 2, 3483 Asker, Norway",Asker,Norway,Shops,59.550264,10.4556335,https://www.1881.no/gartnerier-og-planteskoler/gartnerier-og-planteskoler-akershus/gartnerier-og-planteskoler-kana/severin-romer-iversen_107196582S0/,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Asker,"Knud Askers vei 26, 1383 Asker, Norway",Asker,Norway,Shops,59.8366821,10.4341973,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Slemmestad,"Kirkealleen 1, 3470 Slemmestad, Norway",Asker,Norway,Shops,59.778253,10.485878,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Sætre,"Fransåsveien 2, 3475 Sætre, Norway",Asker,Norway,Shops,59.6815425,10.5258623,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Tofte,"Østre Strandvei 12, 3482 Tofte, Norway",Asker,Norway,Shops,59.5417381,10.5587894,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Askvoll,"Kystgården, 6980 Askvoll, Norway",Askvoll,Norway,Shops,61.3473232,5.0638682,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Meny Kleppestø,"Gamle Kleppestøvegen 2, 5300 Kleppestø, Norway",Askøy,Norway,Shops,60.4101926,5.2271918,https://meny.no/finn-butikk/,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Askøy,"Gamle Kleppestøvegen 2, 5300 Kleppestø, Norway",Askøy,Norway,Shops,60.4101926,5.2271918,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Bjørkelangen,"Rådhusveien 5, 1940 Bjørkelangen, Norway",Aurskog-Høland,Norway,Shops,59.8831169,11.5670848,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Averøy,"Averøyveien 24, 6530 Averøy, Norway",Averøy,Norway,Shops,63.05212,7.631708,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Storsteinnes,"Rådhusgata 9, 9050 Storsteinnes, Norway",Balsfjord,Norway,Shops,69.2397072,19.227036,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Meny Brotorvet,"Gangveien 10, 3960 Stathelle, Norway",Bamble,Norway,Shops,59.045822,9.69087,https://meny.no/finn-butikk/,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Stathelle,"Gangveien 10, 3960 Stathelle, Norway",Bamble,Norway,Shops,59.045822,9.69087,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Setermoen,"Gammelveien 8, 9360 Bardu, Norway",Bardu,Norway,Shops,68.861501,18.344982,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Grand Hotel Terminus,"Zander Kaaes gate 6, 5015 Bergen, Norway",Bergen,Norway,Hotel,60.390604,5.334131,http://www.grandterminus.no/,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Allmuen,"Valkendorfsgaten 1B, 5012 Bergen, Norway",Bergen,Norway,Restaurants & bars,60.393234,5.323227,https://www.allmuenbistro.no/,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Apollon Platebar,"Nygårdsgaten 2A, 5015 Bergen, Norway",Bergen,Norway,Restaurants & bars,60.38963,5.323063,https://apollon.no/,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Banzha,"Neumanns gate 28, 5015 Bergen, Norway",Bergen,Norway,Restaurants & bars,60.3909684,5.3212675,https://www.banzha.no/,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Bergen Brunsj,"Kaigaten 16, 5016 Bergen, Norway",Bergen,Norway,Restaurants & bars,60.39094,5.330333,http://bergenbrunsj.no/,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Colonialen Fetevare,"Strandgaten 18, 5013 Bergen, Norway",Bergen,Norway,Restaurants & bars,60.3943858,5.321353,https://colonialen.no/fetevaren,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Colonialen Kranen,"Solheimsgaten 9B, 5058 Bergen, Norway",Bergen,Norway,Restaurants & bars,60.378181,5.333731,https://www.colonialen.no/kranen,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
